date,store_id,product,units_sold,revenue
2026-01-01,1,Laptop,45,45000
2026-01-01,2,Phone,60,30000
2026-01-01,3,Laptop,75,75000
2026-01-02,1,Tablet,55,27500
2026-01-02,3,Phone,80,40000
2026-01-03,2,Laptop,40,40000
2026-01-03,3,Tablet,65,32500
2026-01-04,1,Phone,70,35000
2026-01-04,3,Laptop,90,90000
2026-01-05,2,Tablet,35,17500
2026-01-05,3,Phone,55,27500
2026-01-06,1,Laptop,85,85000
2026-01-06,3,Tablet,72,36000
2026-01-07,2,Phone,65,32500
2026-01-07,3,Laptop,100,100000
2026-01-08,1,Tablet,50,25000
2026-01-08,3,Phone,95,47500
2026-01-09,2,Laptop,70,70000
2026-01-09,3,Tablet,60,30000
2026-01-10,1,Phone,45,22500
